,fecha,SO2,NO2,CO,O3,PM10,PM2.5
86,2017-03-28,0.0071599999999999,0.06312,0.948,0.0532799999999999,108.68,78.56
87,2017-03-29,0.0062399999999999,0.0605599999999999,0.848,0.0614399999999999,77.48,58.28
88,2017-03-30,0.0059999999999999,0.0673999999999999,0.9,0.06488,92.64,59.2
89,2017-03-31,0.0060799999999999,0.06048,0.8,0.0354799999999999,99.48,69.52
90,2017-04-01,0.0044799999999999,0.0418799999999999,0.632,0.0511599999999999,45.0,30.24
91,2017-04-02,0.0066399999999999,0.0509199999999999,0.7040000000000001,0.0652,79.68,57.2
92,2017-04-03,0.0082399999999999,0.07472,0.8759999999999999,0.0652799999999999,101.84,74.12
93,2017-04-04,0.0082799999999999,0.07824,1.048,0.07488,93.52,63.12
94,2017-04-05,0.0117999999999999,0.07488,0.8,0.0411999999999999,88.76,57.76
95,2017-04-06,0.0045199999999999,0.0480799999999999,0.608,0.0384799999999999,43.64,31.48
96,2017-04-07,0.0054399999999999,0.06528,0.7239999999999999,0.0426799999999999,76.6,47.44
97,2017-04-08,0.0061599999999999,0.0593599999999999,0.7759999999999999,0.0513599999999999,83.04,57.84
98,2017-04-09,0.0045599999999999,0.03752,0.752,0.0498799999999999,78.96,50.76
99,2017-04-10,0.0050799999999999,0.0622799999999999,0.604,0.0507199999999999,44.8,27.52
100,2017-04-11,0.0065199999999999,0.0568399999999999,0.616,0.06308,102.2,38.04
101,2017-04-12,0.0052799999999999,0.0393199999999999,0.408,0.0508,81.24,19.64
102,2017-04-13,0.0083999999999999,0.0456799999999999,0.732,0.0617199999999999,99.76,57.88
103,2017-04-14,0.0078399999999999,0.0537199999999999,0.7,0.0641599999999999,79.84,41.92
104,2017-04-15,0.0077999999999999,0.04844,0.6666666666666666,0.07236,86.12,42.36
105,2017-04-16,0.0077599999999999,0.07508,0.975,0.07056,77.56,44.24
106,2017-04-17,0.0081599999999999,0.07088,0.904,0.0469999999999999,78.88,42.68
107,2017-04-18,0.0054799999999999,0.0442799999999999,0.604,0.0450799999999999,69.0,34.24
108,2017-04-19,0.0050799999999999,0.0423199999999999,0.4679999999999999,0.0502399999999999,143.92,26.52
109,2017-04-20,0.0069199999999999,0.0484799999999999,0.5479999999999999,0.05196,123.24,29.48
110,2017-04-21,0.0066399999999999,0.0579599999999999,0.696,0.0552799999999999,97.84,35.44
111,2017-04-22,0.0059199999999999,0.0565999999999999,0.748,0.05916,88.48,38.56
112,2017-04-23,0.0071999999999999,0.04816,0.64,0.07392,71.76,34.72
113,2017-04-24,0.0060399999999999,0.0562,0.652,0.07008,60.12,26.4
114,2017-04-25,0.0067999999999999,0.0552399999999999,0.6,0.069,94.88,53.84
115,2017-04-26,0.0047599999999999,0.0352399999999999,0.504,0.0512,72.8,38.08
116,2017-04-27,0.0069199999999999,0.0431999999999999,0.624,0.0601599999999999,72.12,25.68
117,2017-04-28,0.0088399999999999,0.0431999999999999,0.736,0.05928,92.72,34.8
118,2017-04-29,0.0095199999999999,0.0468399999999999,0.78,0.0732799999999999,87.48,46.6
119,2017-04-30,0.01004,0.0345199999999999,0.812,0.09008,113.2,61.72
120,2017-05-01,0.0078799999999999,0.05472,0.8079999999999999,0.1012799999999999,124.24,71.72
121,2017-05-02,0.0089599999999999,0.06624,0.868,0.0828799999999999,136.04,75.12
122,2017-05-03,0.0070799999999999,0.0622399999999999,0.74,0.1214,95.72,46.84
123,2017-05-04,0.0077599999999999,0.0617199999999999,0.684,0.074,80.76,40.88
124,2017-05-05,0.0067599999999999,0.0331599999999999,0.472,0.0663199999999999,188.52,42.08
125,2017-05-06,0.0072799999999999,0.0313199999999999,0.436,0.0564799999999999,330.4,41.72
126,2017-05-07,0.0081599999999999,0.0327199999999999,0.4639999999999999,0.0624799999999999,148.0,24.0
127,2017-05-08,0.0110399999999999,0.0583199999999999,0.684,0.07612,272.24,62.16
128,2017-05-09,0.0094399999999999,0.0578799999999999,0.664,0.0596,182.4,42.08
129,2017-05-10,0.0057999999999999,0.0349599999999999,0.52,0.0489199999999999,69.36,31.24
130,2017-05-11,0.0087999999999999,0.0601599999999999,0.8079999999999999,0.0779599999999999,109.96,64.28
131,2017-05-12,0.0083199999999999,0.05792,0.912,0.05656,106.72,64.28
132,2017-05-13,0.0066799999999999,0.0425999999999999,0.62,0.0600399999999999,73.12,38.48
133,2017-05-14,0.0062399999999999,0.0281599999999999,0.408,0.0531199999999999,74.8,25.12
134,2017-05-15,0.0056399999999999,0.0347599999999999,0.408,0.0451999999999999,76.64,17.76
135,2017-05-16,0.0085416666666666,0.0438749999999999,0.475,0.0529999999999999,45.708333333333336,22.625
136,2017-05-17,0.0101999999999999,0.0518,0.608,0.0735199999999999,56.76,28.0
137,2017-05-18,0.0087199999999999,0.05652,0.628,0.0865199999999999,68.12,39.24
138,2017-05-19,0.0087199999999999,0.0529599999999999,0.608,0.06888,61.08,37.08
139,2017-05-20,0.0098799999999999,0.0508799999999999,0.584,0.074,53.64,30.76
140,2017-05-21,0.0064399999999999,0.0371599999999999,0.504,0.06556,43.52,28.8
141,2017-05-22,0.0065199999999999,0.0397599999999999,0.504,0.0736399999999999,72.24,40.2
142,2017-05-23,0.0079199999999999,0.0425599999999999,0.528,0.0463199999999999,49.68,28.68
143,2017-05-24,0.0047199999999999,0.0539999999999999,0.584,0.0577199999999999,39.48,24.32
144,2017-05-25,0.0073999999999999,0.0527999999999999,0.588,0.0672,59.52,24.48
145,2017-05-26,0.0056799999999999,0.0412399999999999,0.472,0.05176,40.24,16.8
146,2017-05-27,0.0062399999999999,0.0455599999999999,0.5,0.06604,43.92,20.48
147,2017-05-28,0.0075199999999999,0.0451599999999999,0.544,0.08068,78.92,39.5
148,2017-05-29,0.0089199999999999,0.0383199999999999,0.652,0.1007199999999999,94.2,52.32
149,2017-05-30,0.0095999999999999,0.06164,0.592,0.0708,76.32,39.68
150,2017-05-31,0.0081199999999999,0.0531599999999999,0.58,0.0808,60.24,33.0
151,2017-06-01,0.00436,0.0259999999999999,0.416,0.0541999999999999,61.84,26.2
152,2017-06-02,0.0043999999999999,0.0288799999999999,0.3879999999999999,0.0550799999999999,47.76,17.32
153,2017-06-03,0.0047599999999999,0.0360799999999999,0.468,0.0546399999999999,43.8,17.68
154,2017-06-04,0.0044399999999999,0.0351999999999999,0.472,0.06368,40.32,17.2
155,2017-06-05,0.0050799999999999,0.0575199999999999,0.512,0.084,44.04,22.2
156,2017-06-06,0.00464,0.0279999999999999,0.412,0.0487199999999999,32.84,15.8
157,2017-06-07,0.0041199999999999,0.0403999999999999,0.5760000000000001,0.0413599999999999,32.88,20.36
158,2017-06-08,0.0059999999999999,0.0350799999999999,0.7959999999999999,0.0800799999999999,69.56,43.12
159,2017-06-09,0.0066799999999999,0.0358399999999999,0.716,0.0768,81.4,51.8
160,2017-06-10,0.0050799999999999,0.0433599999999999,0.624,0.07736,91.12,57.64
